20
-7.840 8.711 -5.630 12.995 46.561 
-7.667 8.561 -5.360 13.922 45.852 
-7.498 8.399 -5.074 14.596 45.405 
-7.331 8.218 -4.777 15.073 45.211 
-7.169 8.008 -4.472 15.415 45.261 
-7.011 7.748 -4.161 15.665 45.544 
-6.860 7.421 -3.846 15.836 46.048 
-6.715 7.009 -3.529 15.912 46.755 
-6.580 6.507 -3.211 15.867 47.640 
-6.455 5.925 -2.895 15.694 48.677 
-6.343 5.287 -2.584 15.417 49.840 
-6.244 4.621 -2.279 15.082 51.112 
-6.158 3.950 -1.980 14.727 52.484 
-6.086 3.289 -1.690 14.363 53.949 
-6.027 2.647 -1.406 13.976 55.507 
-5.980 2.028 -1.131 13.528 57.153 
-5.945 1.436 -0.866 12.977 58.880 
-5.922 0.877 -0.613 12.294 60.675 
-5.910 0.352 -0.375 11.480 62.523 
-5.908 -0.139 -0.154 10.567 64.409 
-5.915 -0.595 0.048 9.610 66.318 
-5.932 -1.022 0.230 8.668 68.239 
-5.956 -1.422 0.395 7.785 70.166 
-5.988 -1.800 0.542 6.991 72.095 
-6.028 -2.156 0.675 6.301 74.025 
-6.074 -2.495 0.795 5.719 75.958 
-6.128 -2.818 0.905 5.246 77.897 
-6.187 -3.127 1.006 4.879 79.846 
-6.253 -3.424 1.100 4.615 81.811 
-6.324 -3.712 1.191 4.453 83.799 
-6.401 -3.991 1.279 4.394 85.819 
-6.484 -4.265 1.367 4.440 87.881 
-6.572 -4.536 1.458 4.598 89.996 
-6.665 -4.807 1.552 4.881 92.180 
-6.764 -5.081 1.654 5.303 94.449 
